Gene_Symbol,GeneID,Description
OTX2,5015,orthodenticle homeobox 2
KRTAP1-5,83895,keratin associated protein 1-5
NEK11,79858,NIMA (never in mitosis gene a)- related kinase 11
RCSD1,92241,RCSD domain containing 1
RP9,6100,retinitis pigmentosa 9 (autosomal dominant)
CLDN2,9075,claudin 2
NIBP,83696,NIK and IKK{beta} binding protein
HMGCS1,3157,3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1 (soluble)
MUC16,94025,"mucin 16, cell surface associated"
TTLL2,83887,"tubulin tyrosine ligase-like family, member 2"
RFX4,5992,"regulatory factor X, 4 (influences HLA class II expression)"
C7orf24,79017,chromosome 7 open reading frame 24
C19orf33,64073,chromosome 19 open reading frame 33
IL17D,53342,interleukin 17D
PROK1,84432,prokineticin 1
C10orf11,83938,chromosome 10 open reading frame 11
ARF1,375,ADP-ribosylation factor 1
MRPL46,26589,mitochondrial ribosomal protein L46
RP11-151A6.2,87769,hypothetical protein BC004360
GPRASP2,114928,G protein-coupled receptor associated sorting protein 2
CCDC123,84902,coiled-coil domain containing 123
ZNF518B,85460,zinc finger protein 518B
OC90,729330,otoconin 90
PADI6,353238,"peptidyl arginine deiminase, type VI"
EPSTI1,94240,epithelial stromal interaction 1 (breast)
C7orf29,113763,chromosome 7 open reading frame 29
ABHD5,51099,abhydrolase domain containing 5
C7orf11,136647,chromosome 7 open reading frame 11
HMGN3,9324,high mobility group nucleosomal binding domain 3
HIF3A,64344,"hypoxia inducible factor 3, alpha subunit"
FAM57A,79850,"family with sequence similarity 57, member A"
LOC254559,254559,hypothetical protein LOC254559
SYCE1,93426,synaptonemal complex central element protein 1
WBSCR26,171022,Williams Beuren syndrome chromosome region 26
NXF3,56000,nuclear RNA export factor 3
LOC284702,284702,hypothetical protein LOC284702
KLHDC7A,127707,kelch domain containing 7A
C10orf71,118461,chromosome 10 open reading frame 71
COL6A2,1292,"collagen, type VI, alpha 2"
ZDBF2,57683,"zinc finger, DBF-type containing 2"
ZNF452,114821,zinc finger protein 452
OR4X2,119764,"olfactory receptor, family 4, subfamily X, member 2"
TEKT3,64518,tektin 3
FAM123A,219287,family with sequence similarity 123A
LOC728208,728208,hypothetical protein LOC728208
NUDT12,83594,nudix (nucleoside diphosphate linked moiety X)-type motif 12
RP11-431O22.2,121981,similar to peptidyl-Pro cis trans isomerase
AGXT2L1,64850,alanine-glyoxylate aminotransferase 2-like 1
LNPEP,4012,leucyl/cystinyl aminopeptidase
PLA2G2C,391013,"phospholipase A2, group IIC"
LOC124446,124446,hypothetical protein BC017488
KLHL23,151230,kelch-like 23
FAM71B,153745,"family with sequence similarity 71, member B"
MPP4,58538,"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"
LINGO4,339398,leucine rich repeat and Ig domain containing 4
"B3GNT8,B3GNTL1",374907,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8, UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like 1"
RPL31,6160,ribosomal protein L31
NHLRC2,374354,NHL repeat containing 2
AADACL4,343066,arylacetamide deacetylase-like 4
HTR5A,3361,5-hydroxytryptamine (serotonin) receptor 5A
KCTD15,79047,potassium channel tetramerisation domain containing 15
P2RY11,5032,"purinergic receptor P2Y, G-protein coupled, 11"
C4orf35,85438,chromosome 4 open reading frame 35
C18orf58,284222,chromosome 18 open reading frame 58
TEX14,56155,testis expressed 14
SPATA22,84690,spermatogenesis associated 22
LSM10,84967,"LSM10, U7 small nuclear RNA associated"
NT5DC2,64943,5'-nucleotidase domain containing 2
LOC285628,285628,hypothetical protein LOC285628
RTBDN,83546,retbindin
"TARP,TRGV9,TRGV5,TRGV3,TRGC2",445347,"TCR gamma alternate reading frame protein, T cell receptor gamma variable 9, T cell receptor gamma variable 5, T cell receptor gamma variable 3, T cell receptor gamma constant 2"
"hCG_38480,KCTD1",728606,"potassium channel tetramerisation domain containing 1, potassium channel tetramerisation domain containing 1"
EDC3,80153,enhancer of mRNA decapping 3 homolog
"TGM6,TGM5",343641,"transglutaminase 6, transglutaminase 5"
RXFP1,59350,relaxin/insulin-like family peptide receptor 1
SLURP1,57152,secreted LY6/PLAUR domain containing 1
TMEM121,80757,transmembrane protein 121
MOGAT2,80168,monoacylglycerol O-acyltransferase 2
CPEB1,64506,cytoplasmic polyadenylation element binding protein 1
XPO4,64328,exportin 4
KIAA1841,84542,KIAA1841
GABRB2,2561,"gamma-aminobutyric acid (GABA) A receptor, beta 2"
ART4,420,ADP-ribosyltransferase 4 (Dombrock blood group)
TTPA,7274,tocopherol (alpha) transfer protein
NXN,64359,nucleoredoxin
AGBL5,60509,ATP/GTP binding protein-like 5
ARD1B,84779,ARD1 homolog B
GPR18,2841,G protein-coupled receptor 18
FAM43A,131583,"family with sequence similarity 43, member A"
CCM2,83605,cerebral cavernous malformation 2
RSAD2,91543,radical S-adenosyl methionine domain containing 2
LZIC,84328,leucine zipper and CTNNBIP1 domain containing
IHPK3,117283,inositol hexaphosphate kinase 3
ACTR5,79913,ARP5 actin-related protein 5 homolog
LRFN3,79414,leucine rich repeat and fibronectin type III domain containing 3
PLD2,5338,phospholipase D2
LMOD3,56203,leiomodin 3 (fetal)
PIH1D2,120379,PIH1 domain containing 2
SSBP4,170463,single stranded DNA binding protein 4
LOC647012,647012,similar to YY1 transcription factor
VSTM2L,128434,V-set and transmembrane domain containing 2 like
KIF6,221458,kinesin family member 6
KCNV2,169522,"potassium channel, subfamily V, member 2"
PSRC1,84722,proline/serine-rich coiled-coil 1
"LONP2,SIAH1",83752,"lon peptidase 2, peroxisomal, seven in absentia homolog 1"
SERPINB11,89778,"serpin peptidase inhibitor, clade B (ovalbumin), member 11"
OXR1,55074,oxidation resistance 1
C20orf108,116151,chromosome 20 open reading frame 108
HRNBP3,146713,hypothetical protein LOC146713
LOC149692,149692,hypothetical protein LOC149692
SUMO4,387082,SMT3 suppressor of mif two 3 homolog 4
FBXW9,84261,F-box and WD repeat domain containing 9
FAM136A,84908,"family with sequence similarity 136, member A"
SYNC1,81493,"syncoilin, intermediate filament 1"
CBFB,865,"core-binding factor, beta subunit"
TBPL2,387332,TATA box binding protein like 2
USHBP1,83878,Usher syndrome 1C binding protein 1
SLC24A6,80024,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 6"
PAQR8,85315,progestin and adipoQ receptor family member VIII
KRT84,3890,keratin 84
TMEM35,59353,transmembrane protein 35
NKAIN1,79570,Na+/K+ transporting ATPase interacting 1
RPAP3,79657,RNA polymerase II associated protein 3
LIMD2,80774,LIM domain containing 2
FXYD6,53826,FXYD domain containing ion transport regulator 6
LOC116349,116349,hypothetical protein BC014011
SLCO1B3,28234,"solute carrier organic anion transporter family, member 1B3"
CCDC134,79879,coiled-coil domain containing 134
TMEM87B,84910,transmembrane protein 87B
CHRM1,1128,"cholinergic receptor, muscarinic 1"
SAT2,112483,spermidine/spermine N1-acetyltransferase 2
CCNB1,891,cyclin B1
ATP6V1E2,90423,"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"
C1orf124,83932,chromosome 1 open reading frame 124
EBPL,84650,emopamil binding protein-like
MMP2,4313,"matrix metallopeptidase 2 (gelatinase A, 72kDa gelatinase, 72kDa type IV collagenase)"
C2orf37,80067,chromosome 2 open reading frame 37
MOSPD3,64598,motile sperm domain containing 3
SELS,55829,selenoprotein S
OR51E2,81285,"olfactory receptor, family 51, subfamily E, member 2"
OR1Q1,158131,"olfactory receptor, family 1, subfamily Q, member 1"
DNAJC5,80331,"DnaJ (Hsp40) homolog, subfamily C, member 5"
TAF8,129685,"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa"
KCNK12,56660,"potassium channel, subfamily K, member 12"
C3orf26,84319,chromosome 3 open reading frame 26
FLJ22763,401081,hypothetical gene supported by AK026416
DYX1C1,161582,dyslexia susceptibility 1 candidate 1
GRIN3A,116443,"glutamate receptor, ionotropic, N-methyl-D-aspartate 3A"
DCC1,79075,defective in sister chromatid cohesion homolog 1
IDE,3416,insulin-degrading enzyme
SAA3P,6290,serum amyloid A3 pseudogene
OR4C1P,26242,"olfactory receptor, family 4, subfamily C, member 1 pseudogene"
HGSNAT,138050,heparan-alpha-glucosaminide N-acetyltransferase
TMEM10,93377,transmembrane protein 10
CCDC45,90799,coiled-coil domain containing 45
CRIP1,1396,cysteine-rich protein 1 (intestinal)
NIPBL,25836,Nipped-B homolog
TRIM54,57159,tripartite motif-containing 54
MESP1,55897,mesoderm posterior 1 homolog (mouse)
GRIN2B,2904,"glutamate receptor, ionotropic, N-methyl D-aspartate 2B"
C10orf68,79741,chromosome 10 open reading frame 68
TUBA4A,7277,"tubulin, alpha 4a"
NAT10,55226,N-acetyltransferase 10
LOC645478,645478,hypothetical LOC645478
PTPLAD2,401494,protein tyrosine phosphatase-like A domain containing 2
RPL41L,6172,ribosomal protein L41-like
FAM96A,84191,"family with sequence similarity 96, member A"
TMUB1,83590,transmembrane and ubiquitin-like domain containing 1
UBE1L2,55236,ubiquitin-activating enzyme E1-like 2
BRUNOL5,60680,"bruno-like 5, RNA binding protein"
NPEPL1,79716,aminopeptidase-like 1
OR51D1,390038,"olfactory receptor, family 51, subfamily D, member 1"
BHLHB4,128408,"basic helix-loop-helix domain containing, class B, 4"
LOC146443,146443,hypothetical protein LOC146443
REG3G,130120,regenerating islet-derived 3 gamma
TMEM134,80194,transmembrane protein 134
MAP6D1,79929,MAP6 domain containing 1
PCDHB17,54661,protocadherin beta 17 pseudogene
PLEKHF2,79666,"pleckstrin homology domain containing, family F (with FYVE domain) member 2"
DPCR1,135656,diffuse panbronchiolitis critical region 1
SGIP1,84251,SH3-domain GRB2-like (endophilin) interacting protein 1
STK31,56164,serine/threonine kinase 31
FLJ22675,254439,hypothetical gene supported by AK026328
DHH,50846,desert hedgehog homolog
DMRTA1,63951,DMRT-like family A1
ZNF738,148203,zinc finger protein 738
BMPR2,659,"bone morphogenetic protein receptor, type II (serine/threonine kinase)"
CRISPLD1,83690,cysteine-rich secretory protein LCCL domain containing 1
ABTB1,80325,ankyrin repeat and BTB (POZ) domain containing 1
RNASEH2C,84153,"ribonuclease H2, subunit C"
ZFP106,64397,zinc finger protein 106 homolog (mouse)
PRKCA,5578,"protein kinase C, alpha"
HIGD2BP,123346,"HIG1 domain family, member 2B pseudogene"
C22orf32,91689,chromosome 22 open reading frame 32
SPANXF1,171490,"SPANX family, member F1"
C14orf159,80017,chromosome 14 open reading frame 159
HOXB8,3218,homeobox B8
SNAI3,333929,snail homolog 3
NRBF2,29982,nuclear receptor binding factor 2
TMTC4,84899,transmembrane and tetratricopeptide repeat containing 4
PHLDB3,653583,"pleckstrin homology-like domain, family B, member 3"
F12,2161,coagulation factor XII (Hageman factor)
SETDB2,83852,"SET domain, bifurcated 2"
MSGN1,343930,mesogenin 1
OR2D2,120776,"olfactory receptor, family 2, subfamily D, member 2"
ENPP5,59084,ectonucleotide pyrophosphatase/phosphodiesterase 5 (putative function)
CAMKK1,84254,"calcium/calmodulin-dependent protein kinase kinase 1, alpha"
TMPRSS5,80975,"transmembrane protease, serine 5 (spinesin)"
STX1B,112755,syntaxin 1B
OR10G3,26533,"olfactory receptor, family 10, subfamily G, member 3"
FAM83G,644815,"family with sequence similarity 83, member G"
CD164L2,388611,CD164 sialomucin-like 2
GLB1L,79411,"galactosidase, beta 1-like"
LOC148709,148709,actin pseudogene
RELT,84957,RELT tumor necrosis factor receptor
ZNRF3,84133,zinc and ring finger 3
CIB3,117286,calcium and integrin binding family member 3
GPRASP1,9737,G protein-coupled receptor associated sorting protein 1
PITPNM3,83394,PITPNM family member 3
RIC8A,60626,resistance to inhibitors of cholinesterase 8 homolog A (C. elegans)
OR5A1,219982,"olfactory receptor, family 5, subfamily A, member 1 (beta ionone sensitivity)"
HNRPD,3184,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)"
MLF1IP,79682,MLF1 interacting protein
GAGE6,2578,G antigen 6
ARL14,80117,ADP-ribosylation factor-like 14
ANTXR2,118429,anthrax toxin receptor 2
LOC202781,202781,hypothetical protein LOC202781
SESN2,83667,sestrin 2
C2orf43,60526,chromosome 2 open reading frame 43
MICALCL,84953,MICAL C-terminal like
SLC46A2,57864,"solute carrier family 46, member 2"
SLITRK6,84189,"SLIT and NTRK-like family, member 6"
SCPEP1,59342,serine carboxypeptidase 1
PAGE5,90737,"P antigen family, member 5 (prostate associated)"
ZBTB46,140685,zinc finger and BTB domain containing 46
OSCAR,126014,"osteoclast associated, immunoglobulin-like receptor"
PRR7,80758,proline rich 7 (synaptic)
RNF148,378925,ring finger protein 148
LOC147343,147343,hypothetical protein LOC147343
PPP1R16B,26051,"protein phosphatase 1, regulatory (inhibitor) subunit 16B"
EMX2,2018,empty spiracles homeobox 2
C1orf90,84734,chromosome 1 open reading frame 90
GPATCH3,63906,G patch domain containing 3
FRMD1,79981,FERM domain containing 1
ALPI,248,"alkaline phosphatase, intestinal"
SLC22A16,85413,"solute carrier family 22 (organic cation transporter), member 16"
CCDC68,80323,coiled-coil domain containing 68
"LOC441383,ZNF252",441383,"hypothetical gene supported by AF086559; BC065734, zinc finger protein 252"
SDSL,113675,serine dehydratase-like
MLSTD2,84188,male sterility domain containing 2
BTNL8,79908,butyrophilin-like 8
PCDHA12,56137,protocadherin alpha 12
RBP2,5948,"retinol binding protein 2, cellular"
APOO,79135,apolipoprotein O
C20orf149,79144,chromosome 20 open reading frame 149
ELOVL6,79071,"ELOVL family member 6, elongation of long chain fatty acids (FEN1/Elo2, SUR4/Elo3-like, yeast)"
WDFY4,57705,WDFY family member 4
SYDE2,84144,"synapse defective 1, Rho GTPase, homolog 2 (C. elegans)"
LOC91431,91431,prematurely terminated mRNA decay factor-like
DDX31,64794,DEAD (Asp-Glu-Ala-Asp) box polypeptide 31
PRDM12,59335,PR domain containing 12
MT4,84560,metallothionein 4
BNIPL,149428,BCL2/adenovirus E1B 19kD interacting protein like
AP1M1,8907,"adaptor-related protein complex 1, mu 1 subunit"
C14orf82,145438,chromosome 14 open reading frame 82
C10orf46,143384,chromosome 10 open reading frame 46
ITFG3,83986,integrin alpha FG-GAP repeat containing 3
FOXRED2,80020,FAD-dependent oxidoreductase domain containing 2
C3orf16,389161,chromosome 3 open reading frame 16
C11orf56,84067,chromosome 11 open reading frame 56
MRPL45,84311,mitochondrial ribosomal protein L45
IGSF8,93185,"immunoglobulin superfamily, member 8"
CLDN6,9074,claudin 6
DTNBP1,84062,dystrobrevin binding protein 1
ANKMY1,51281,ankyrin repeat and MYND domain containing 1
TRBV5-4,28611,T cell receptor beta variable 5-4
ERN2,10595,endoplasmic reticulum to nucleus signaling 2
FAM111A,63901,"family with sequence similarity 111, member A"
HIPK2,28996,homeodomain interacting protein kinase 2
CPNE7,27132,copine VII
SLC43A2,124935,"solute carrier family 43, member 2"
NCF4,4689,"neutrophil cytosolic factor 4, 40kDa"
C13orf27,93081,chromosome 13 open reading frame 27
KIAA1822,84439,KIAA1822
RAB40C,57799,"RAB40C, member RAS oncogene family"
LRRC31,79782,leucine rich repeat containing 31
ABBA-1,92154,actin-bundling protein with BAIAP2 homology
DEPDC6,64798,DEP domain containing 6
MPST,4357,mercaptopyruvate sulfurtransferase
ZFP2,80108,zinc finger protein 2 homolog (mouse)
PPAPDC1B,84513,phosphatidic acid phosphatase type 2 domain containing 1B
SYT6,148281,synaptotagmin VI
CYYR1,116159,cysteine/tyrosine-rich 1
ARHGAP10,79658,Rho GTPase activating protein 10
EFHD2,79180,"EF-hand domain family, member D2"
C6orf205,394263,chromosome 6 open reading frame 205
NOXA1,10811,NADPH oxidase activator 1
EPS8L3,79574,EPS8-like 3
SATL1,340562,spermidine/spermine N1-acetyl transferase-like 1
C11orf17,56672,chromosome 11 open reading frame 17
EMB,133418,embigin homolog (mouse)
GTF3C6,112495,"general transcription factor IIIC, polypeptide 6, alpha 35kDa"
ZNF292,23036,zinc finger protein 292
SPATA17,128153,spermatogenesis associated 17
ABCC12,94160,"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"
RPL10L,140801,ribosomal protein L10-like
C13orf33,84935,chromosome 13 open reading frame 33
C10orf76,79591,chromosome 10 open reading frame 76
CD99L2,83692,CD99 molecule-like 2
ZCWPW2,152098,"zinc finger, CW type with PWWP domain 2"
HPS6,79803,Hermansky-Pudlak syndrome 6
COPS7B,64708,COP9 constitutive photomorphogenic homolog subunit 7B (Arabidopsis)
EFTUD1,79631,elongation factor Tu GTP binding domain containing 1
HAPLN2,60484,hyaluronan and proteoglycan link protein 2
PIGR,5284,polymeric immunoglobulin receptor
LOC112703,112703,hypothetical protein BC004941
THAP7,80764,THAP domain containing 7
LOC644451,644451,similar to SHQ1 homolog
SLC26A9,115019,"solute carrier family 26, member 9"
ZNF750,79755,zinc finger protein 750
C2orf40,84417,chromosome 2 open reading frame 40
C1orf191,619518,chromosome 1 open reading frame 191
SLC25A18,83733,"solute carrier family 25 (mitochondrial carrier), member 18"
RSPH1,89765,radial spoke head 1 homolog (Chlamydomonas)
DMKN,93099,dermokine
COL21A1,81578,"collagen, type XXI, alpha 1"
ZNF28,7576,zinc finger protein 28
AMIGO3,386724,adhesion molecule with Ig-like domain 3
C12orf26,84190,chromosome 12 open reading frame 26
SOST,50964,sclerosteosis
RAB3IP,117177,RAB3A interacting protein (rabin3)
XKR7,343702,"XK, Kell blood group complex subunit-related family, member 7"
TNKS,8658,"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
C10orf62,414157,chromosome 10 open reading frame 62
C7orf10,79783,chromosome 7 open reading frame 10
DEGS2,123099,"degenerative spermatocyte homolog 2, lipid desaturase"
RAB1B,81876,"RAB1B, member RAS oncogene family"
MRO,83876,maestro
C14orf43,91748,chromosome 14 open reading frame 43
ASB14,142686,ankyrin repeat and SOCS box-containing 14
FAM107B,83641,"family with sequence similarity 107, member B"
C1orf14,81626,chromosome 1 open reading frame 14
HHLA2,11148,HERV-H LTR-associating 2
LOC647166,647166,hypothetical LOC647166
USP42,84132,ubiquitin specific peptidase 42
ZC3H14,79882,zinc finger CCCH-type containing 14
COQ10B,80219,coenzyme Q10 homolog B
DNAJC1,64215,"DnaJ (Hsp40) homolog, subfamily C, member 1"
CENPL,91687,centromere protein L
MDH1B,130752,"malate dehydrogenase 1B, NAD (soluble)"
ATP11C,286410,"ATPase, class VI, type 11C"
KDELC2,143888,KDEL (Lys-Asp-Glu-Leu) containing 2
C18orf34,374864,chromosome 18 open reading frame 34
C20orf160,140706,chromosome 20 open reading frame 160
THTPA,79178,thiamine triphosphatase
C15orf29,79768,chromosome 15 open reading frame 29
PSD2,84249,pleckstrin and Sec7 domain containing 2
CXXC6,80312,CXXC finger 6
FRAT2,23401,frequently rearranged in advanced T-cell lymphomas 2
NDNL2,56160,necdin-like 2
PCYT1B,9468,"phosphate cytidylyltransferase 1, choline, beta"
